,id,name,year_established,country,description,url,image,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
0,bybit_spot,Bybit,2018.0,British Virgin Islands,"Bybit is a cryptocurrency exchange that offers a professional platform featuring an ultra-fast matching engine, excellent customer service and multilingual community support for crypto traders of all levels. Established in March 2018, Bybit currently serves more than 10 million users and institutions offering access to over 100 assets and contracts across Spot, Futures and Options, launchpad projects, earn products, an NFT Marketplace and more. Bybit is a proud partner of Formula One racing team, Oracle Red Bull Racing, esports teams NAVI, Astralis, Alliance, Virtus.pro, Made in Brazil (MIBR), City Esports, and Oracle Red Bull Racing Esports, and association football (soccer) teams Borussia Dortmund and Avispa Fukuoka.",https://www.bybit.com,https://assets.coingecko.com/markets/images/698/small/bybit_spot.png?1706864649,False,10,1,55282.72562013832,40675.27338256129
1,okex,OKX,2017.0,Seychelles,,https://www.okx.com,https://assets.coingecko.com/markets/images/96/small/WeChat_Image_20220117220452.png?1706864283,False,10,2,33026.856862876324,31895.710137897408
2,gdax,Coinbase Exchange,2012.0,United States,,https://www.coinbase.com/,https://assets.coingecko.com/markets/images/23/small/Coinbase_Coin_Primary.png?1706864258,False,10,3,26021.78984082785,26021.78984082785
3,bitget,Bitget,2018.0,Seychelles,,https://www.bitget.com/,https://assets.coingecko.com/markets/images/540/small/2023-07-25_21.47.43.jpg?1706864507,False,10,4,30251.46180848047,19738.38172883246
4,kucoin,KuCoin,2017.0,Seychelles,"Launched in September 2017, KuCoin is a global cryptocurrency exchange with its operational headquarters in Seychelles. As a user-oriented platform with a focus on inclusiveness and community action reach, it offers over 800 digital assets and currently provides Spot trading, Margin trading, P2P Fiat trading, Futures trading, Staking, and Lending to its 30 million users in more than 200 countries and regions. KuCoin is currently one of the top 5 crypto exchanges. In 2023, KuCoin was named one of the Best Crypto Exchanges by Forbes and recognized as a highly commended global exchange in Finder's 2023 Global Cryptocurrency Trading Platform Awards. Learn more at https://www.kucoin.com.",https://www.kucoin.com/,https://assets.coingecko.com/markets/images/61/small/kucoin.png?1706864282,False,10,5,11738.372894840742,11738.372894840742
5,crypto_com,Crypto.com Exchange,2019.0,Malta,"Crypto.com Exchange is the best place to trade crypto, with deep liquidity, low fees and best execution prices, users can trade major cryptocurrencies like Bitcoin, Ethereum, and many more and receive great CRO-powered rewards",https://crypto.com/exchange,https://assets.coingecko.com/markets/images/589/small/h2oMjPp6_400x400.jpg?1706864542,False,10,6,15597.723726700351,9290.808709674371
6,kraken,Kraken,2011.0,United States,,https://www.kraken.com/,https://assets.coingecko.com/markets/images/29/small/kraken.jpg?1706864265,False,10,7,9224.085312859344,9224.085312859344
7,binance_us,Binance US,2019.0,United States,,https://www.binance.us/,https://assets.coingecko.com/markets/images/469/small/Binance.png?1706864454,False,10,8,245.75788939399783,245.75788939399783
8,binance,Binance,2017.0,Cayman Islands,,https://www.binance.com/,https://assets.coingecko.com/markets/images/52/small/binance.jpg?1706864274,False,9,9,226116.3794574217,106071.73615130164
9,mxc,MEXC,2018.0,Seychelles,"Established in April 2018, MEXC is one of the world’s leading digital-asset trading platforms. The core team comes from world-class enterprises and financial companies with rich experience in blockchain and financial industries.",https://www.mexc.com/,https://assets.coingecko.com/markets/images/409/small/MEXC_logo_square.jpeg?1706864416,False,9,10,23783.34802263097,19845.5874293633
10,huobi,HTX,2013.0,Seychelles,,https://www.huobi.com,https://assets.coingecko.com/markets/images/25/small/logo_V_colour_black.png?1706864260,False,9,11,35084.181833876784,19816.56308904302
11,gate,Gate.io,2017.2469135802469,Cayman Islands,"Gate was established in 2013, and it is the top 10 exchanges in the world in terms of authentic trading volume. It is also the first choice of over 8 million registered customers, covering 130+ countries worldwide, as we are providing the most comprehensive digital asset solutions.",https://www.gate.io/,https://assets.coingecko.com/markets/images/60/small/gate_io_logo1.jpg?1706864280,False,9,12,34195.944978671,15310.114728234828
12,bingx,BingX,2018.0,British Virgin Islands,"Founded in 2018, BingX is a leading crypto exchange, serving over 10 million users worldwide. BingX offers diversified products and services, including spot, derivatives, copy trading, and asset management – all designed for the evolving needs of users, from beginners to professionals. 
BingX is committed to providing a trustworthy platform that empowers users with innovative tools and features to elevate their trading proficiency. In 2024, BingX proudly became Chelsea FC's principal partner, marking an exciting debut in the world of sports.",https://bingx.com/,https://assets.coingecko.com/markets/images/812/small/YtFwQwJr_400x400.jpg?1706864837,False,9,13,9540.317454842474,9540.317454842474
13,fastex,Fastex,2017.2469135802469,Lithuania,,https://exchange.fastex.com/,https://assets.coingecko.com/markets/images/1091/small/fastex.png?1706865112,False,9,14,2179.096031296973,2179.096031296973
14,bitfinex,Bitfinex,2012.0,British Virgin Islands,,https://www.bitfinex.com,https://assets.coingecko.com/markets/images/4/small/BItfinex.png?1706864245,False,9,15,2764.226657810032,1752.4608294979437
15,bitstamp,Bitstamp,2011.0,Luxembourg,,https://links.bitstamp.net/c/2223866/1100037/14006,https://assets.coingecko.com/markets/images/9/small/bitstamp.jpg?1706864251,False,9,16,2639.032715378169,1652.35321375454
16,backpack_exchange,Backpack Exchange ,2023.0,British Virgin Islands,A next-gen cryptocurrency exchange. ,https://backpack.exchange/,https://assets.coingecko.com/markets/images/1387/small/backpack.jpeg?1708663541,False,9,17,1348.4314004197363,1348.4314004197363
